업태구분명,소재지전체주소
호프/통닭,서울특별시 종로구 신영동 239-1번지 
호프/통닭,서울특별시 종로구 당주동 5-0 지하1층 
호프/통닭,서울특별시 종로구 삼청동 37번지 
호프/통닭,서울특별시 종로구 명륜2가 202번지 
호프/통닭,서울특별시 종로구 숭인동 191번지 
호프/통닭,서울특별시 종로구 창신동 81-8번지 
호프/통닭,서울특별시 종로구 관철동 19-11 
호프/통닭,서울특별시 종로구 내자동 11-1번지 
호프/통닭,서울특별시 종로구 당주동 100번지 지하 105호 
호프/통닭,서울특별시 종로구 종로5가 75-1번지 
호프/통닭,서울특별시 종로구 당주동 168-0 
호프/통닭,서울특별시 종로구 청진동 1-1번지 
호프/통닭,서울특별시 종로구 필운동 206-0번지 
호프/통닭,서울특별시 종로구 명륜2가 181 지하1층 
호프/통닭,서울특별시 종로구 관철동 11-18 
호프/통닭,서울특별시 종로구 창신동 697-3 동원빌딩 1층 
호프/통닭,서울특별시 종로구 종로6가 205-3번지 
호프/통닭,서울특별시 종로구 운니동 57 지상1층 
호프/통닭,서울특별시 종로구 명륜4가 8-1번지 
통닭(치킨),서울특별시 종로구 통인동 137-11번지 
호프/통닭,서울특별시 종로구 신문로1가 31-0번지 
호프/통닭,서울특별시 종로구 돈의동 50번지 지상1층 
호프/통닭,서울특별시 종로구 관철동 45-8번지 
호프/통닭,서울특별시 종로구 숭인동 313-16번지 
호프/통닭,서울특별시 종로구 관철동 45-8번지 
호프/통닭,서울특별시 종로구 창신동 691-0번지 
통닭(치킨),서울특별시 종로구 창신동 635-8번지 
호프/통닭,서울특별시 종로구 홍지동 127-22번지 
호프/통닭,서울특별시 종로구 필운동 108-4번지 1 
호프/통닭,서울특별시 종로구 필운동 108번지 1층 
호프/통닭,서울특별시 종로구 종로5가 88-4 2층 
호프/통닭,서울특별시 종로구 돈의동 68-102번지 동의빌딩 
호프/통닭,서울특별시 종로구 숭인동 766 종로청계힐스테이트 
호프/통닭,서울특별시 종로구 홍지동 46-1번지 
호프/통닭,서울특별시 종로구 부암동 385 지하1층 
호프/통닭,서울특별시 종로구 창신동 635-8 
호프/통닭,서울특별시 종로구 관철동 19-12 1~2층 
호프/통닭,서울특별시 종로구 명륜4가 70-3번지 
호프/통닭,서울특별시 종로구 동숭동 1-55번지 
통닭(치킨),서울특별시 종로구 평창동 66-72번지 안성빌딩 103호 
호프/통닭,서울특별시 종로구 공평동 18번지 
통닭(치킨),서울특별시 종로구 창신동 635-8번지 지상1층 
호프/통닭,서울특별시 종로구 효제동 308 
통닭(치킨),"서울특별시 종로구 내수동 72번지 경희궁의아침3단지 167,168호 "
통닭(치킨),서울특별시 종로구 창신동 582-17번지 지상1층 
호프/통닭,서울특별시 종로구 동숭동 1-48번지 지하1층 
호프/통닭,서울특별시 종로구 돈의동 84-2번지 
통닭(치킨),서울특별시 종로구 명륜2가 186-2번지 
호프/통닭,서울특별시 종로구 창신동 265번지 지상3층 
통닭(치킨),서울특별시 종로구 숭인동 192번지 지상1층 
통닭(치킨),서울특별시 종로구 창신동 130-66번지 
호프/통닭,서울특별시 종로구 숭인동 66-3번지 지상2층 
통닭(치킨),서울특별시 종로구 동숭동 1-91번지 
호프/통닭,서울특별시 종로구 신문로1가 31 2층 
호프/통닭,서울특별시 종로구 명륜2가 177번지 
통닭(치킨),서울특별시 종로구 관철동 14-7번지 지상1층 
호프/통닭,서울특별시 종로구 효제동 165번지 
호프/통닭,서울특별시 종로구 종로6가 205-3번지 
호프/통닭,서울특별시 종로구 종로5가 121-6번지 지하1층 
통닭(치킨),서울특별시 종로구 무악동 67-2번지 
호프/통닭,서울특별시 종로구 익선동 57번지 
호프/통닭,서울특별시 종로구 관철동 6-5번지 
통닭(치킨),서울특별시 종로구 명륜3가 2-24 (지상1층) 
통닭(치킨),서울특별시 종로구 숭인동 217-19번지 지상2층 
통닭(치킨),서울특별시 종로구 무악동 46-915번지 
통닭(치킨),서울특별시 종로구 명륜3가 53번지 
통닭(치킨),서울특별시 종로구 창신동 583-30번지 지상1층 
통닭(치킨),"서울특별시 종로구 혜화동 166-3번지 지상1,2층 "
호프/통닭,서울특별시 종로구 종로5가 214-6번지 
호프/통닭,서울특별시 종로구 종로1가 24번지 지하1층 B118-3호 
호프/통닭,"서울특별시 종로구 내수동 73 경희궁의아침4단지 B133,B134 "
호프/통닭,서울특별시 종로구 돈의동 94번지 지상1층 
호프/통닭,서울특별시 종로구 효제동 249-1번지 2층 
호프/통닭,서울특별시 종로구 가회동 70-2 지층 
호프/통닭,"서울특별시 종로구 종로1가 24 르메이에르종로타운 지상2층 213,214호 "
호프/통닭,서울특별시 종로구 관철동 13-13 종로코아빌딩 3층 
호프/통닭,서울특별시 종로구 통인동 46-41 1층 
호프/통닭,서울특별시 종로구 효제동 123 1층 
호프/통닭,서울특별시 종로구 인의동 46-1번지 1층 
호프/통닭,서울특별시 종로구 종로5가 45-1 
호프/통닭,서울특별시 종로구 낙원동 55-1 
호프/통닭,서울특별시 종로구 숭인동 218 1층 
호프/통닭,서울특별시 종로구 연지동 85 
통닭(치킨),서울특별시 종로구 당주동 5번지 지하1층 
통닭(치킨),서울특별시 종로구 창신동 84-3번지 (지상1층) 
통닭(치킨),서울특별시 종로구 묘동 201번지 (지하1층) 
호프/통닭,서울특별시 종로구 부암동 208-39번지 1층 
호프/통닭,서울특별시 종로구 옥인동 37번지 지상1층 
호프/통닭,서울특별시 종로구 명륜3가 53 지상1층 유림회관 14호
통닭(치킨),서울특별시 종로구 내수동 74 광화문시대(102-1호) 
통닭(치킨),서울특별시 종로구 내자동 112-3 지상1층 101호 
호프/통닭,서울특별시 종로구 종로5가 45-3 1층 
호프/통닭,서울특별시 종로구 도렴동 150-1번지 
호프/통닭,서울특별시 종로구 명륜4가 53 지하 1층 
호프/통닭,서울특별시 종로구 종로5가 182-8 2층 
호프/통닭,서울특별시 종로구 창신동 20-40번지 (지상1층) 
통닭(치킨),서울특별시 종로구 명륜3가 2-37번지 
호프/통닭,서울특별시 종로구 창신동 633-6번지 (지하1층) 
호프/통닭,서울특별시 종로구 혜화동 74-38번지 
호프/통닭,서울특별시 종로구 교남동 27번지 
통닭(치킨),서울특별시 종로구 종로5가 98번지 
호프/통닭,서울특별시 종로구 관철동 12-5번지 
호프/통닭,서울특별시 종로구 동숭동 1-37번지 4층 
호프/통닭,서울특별시 종로구 수송동 58번지 두산위브파빌리온 142호 
호프/통닭,서울특별시 종로구 당주동 160번지 지하1층 6호 
통닭(치킨),서울특별시 종로구 숭인동 766번지 청계힐스테이트 단지내상가 나동 101호
통닭(치킨),서울특별시 종로구 창신동 440-6번지 
호프/통닭,서울특별시 종로구 창신동 330-5번지 2층 
호프/통닭,서울특별시 종로구 창성동 109-2 지상1층 
호프/통닭,서울특별시 종로구 동숭동 50-42번지 지상2층 
호프/통닭,서울특별시 종로구 혜화동 185 중원빌딩 505-1호 
호프/통닭,서울특별시 종로구 창신동 436-73번지 지하1층 
호프/통닭,서울특별시 종로구 효제동 268-2번지 지상1층 
호프/통닭,서울특별시 종로구 신문로1가 238번지 신문로BD 지상1층 
통닭(치킨),서울특별시 종로구 평창동 66-32번지 (지하1층) 
호프/통닭,서울특별시 종로구 낙원동 196번지 지하1층 
통닭(치킨),서울특별시 종로구 혜화동 15-44번지 
호프/통닭,서울특별시 종로구 숭인동 1388 1층 (109호) 
통닭(치킨),서울특별시 종로구 창신동 583-19번지 지상1층 
호프/통닭,서울특별시 종로구 내수동 95 파크팰리스상가 105호 
호프/통닭,서울특별시 종로구 청진동 191-1 (지상1층) 
호프/통닭,서울특별시 종로구 연건동 45-2 1층 
호프/통닭,서울특별시 종로구 낙원동 210번지 (지상2층) 
통닭(치킨),서울특별시 종로구 연건동 139-2번지 1층 
호프/통닭,서울특별시 종로구 누상동 166-161번지 지상2층 
호프/통닭,서울특별시 종로구 홍지동 91-3번지 
호프/통닭,서울특별시 종로구 명륜2가 188번지 지하1층 
호프/통닭,서울특별시 종로구 충신동 188-14 (지상1층) 
호프/통닭,서울특별시 종로구 팔판동 97-2 지상1.2층 
호프/통닭,서울특별시 종로구 명륜4가 16-1번지 3층 
호프/통닭,"서울특별시 종로구 명륜2가 41-9번지 (지상8,9층) "
호프/통닭,서울특별시 종로구 관철동 7-11번지 지상 3층 
호프/통닭,서울특별시 종로구 종로2가 8-4번지 1층 
호프/통닭,서울특별시 종로구 명륜2가 202 
호프/통닭,서울특별시 종로구 숭인동 1198 (지상1층) 
호프/통닭,서울특별시 종로구 관철동 180번지 스타골드빌딩 
호프/통닭,서울특별시 종로구 무악동 45-379번지 (지상1층) 
호프/통닭,서울특별시 종로구 종로5가 182-2번지 2층 
호프/통닭,"서울특별시 종로구 혜화동 178-1 2,3층 "
통닭(치킨),서울특별시 종로구 숭인동 72-70번지 지상1층 
통닭(치킨),서울특별시 종로구 명륜3가 16번지 (지하1층) 
호프/통닭,서울특별시 종로구 낙원동 82-3 
통닭(치킨),서울특별시 종로구 통인동 147-2번지 (지상1층) 
호프/통닭,서울특별시 종로구 돈의동 10번지 지상1층 
호프/통닭,서울특별시 종로구 관철동 11-24번지 
호프/통닭,서울특별시 종로구 숭인동 200-8번지 3층 
호프/통닭,서울특별시 종로구 창신동 263번지 지상3층 
호프/통닭,서울특별시 종로구 창신동 580-7번지 
호프/통닭,서울특별시 종로구 효제동 65-2번지 
호프/통닭,서울특별시 종로구 명륜1가 16-31번지 
통닭(치킨),서울특별시 종로구 신영동 44번지 지상1층 
호프/통닭,"서울특별시 종로구 당주동 145번지 롯데미도파빌딩 지하52호,53호 "
호프/통닭,서울특별시 종로구 숭인동 226-2번지 지상1층 
호프/통닭,서울특별시 종로구 종로4가 5번지 (지하2층) 
통닭(치킨),서울특별시 종로구 당주동 171번지 1층 
