업태구분명,소재지전체주소
호프/통닭,서울특별시 광진구 구의동 246-31 
호프/통닭,서울특별시 광진구 자양동 44-21 
호프/통닭,서울특별시 광진구 자양동 52-214 
통닭(치킨),서울특별시 광진구 화양동 16-28 
호프/통닭,서울특별시 광진구 구의동 221-35번지 1층 
호프/통닭,서울특별시 광진구 화양동 11-39 (1층) 
호프/통닭,서울특별시 광진구 자양동 4-20 지층 
호프/통닭,서울특별시 광진구 화양동 7-25 
통닭(치킨),서울특별시 광진구 화양동 119-4 (1층) 
호프/통닭,서울특별시 광진구 화양동 35-1번지 (1층) 
호프/통닭,서울특별시 광진구 능동 220-11 
호프/통닭,서울특별시 광진구 구의동 229-45 
통닭(치킨),서울특별시 광진구 군자동 346-37 
통닭(치킨),서울특별시 광진구 중곡동 47-12번지 
호프/통닭,서울특별시 광진구 화양동 47-76 
호프/통닭,서울특별시 광진구 중곡동 193-26번지 
호프/통닭,서울특별시 광진구 자양동 236-23 1층 
호프/통닭,서울특별시 광진구 화양동 8-8 (지하) 
호프/통닭,서울특별시 광진구 자양동 1-3번지 
호프/통닭,서울특별시 광진구 화양동 48-25 지하1층 
호프/통닭,서울특별시 광진구 화양동 12-34번지 
호프/통닭,서울특별시 광진구 중곡동 192-25번지 
호프/통닭,서울특별시 광진구 구의동 246-3번지 (1층 107호) 
호프/통닭,서울특별시 광진구 중곡동 157-11번지 
호프/통닭,서울특별시 광진구 구의동 242-59번지 
호프/통닭,서울특별시 광진구 화양동 7-26 
호프/통닭,서울특별시 광진구 구의동 546-11 
호프/통닭,서울특별시 광진구 구의동 28-28 1층 
호프/통닭,서울특별시 광진구 능동 220-5번지 1층 
호프/통닭,서울특별시 광진구 화양동 45-81 
통닭(치킨),서울특별시 광진구 자양동 637-39 
호프/통닭,서울특별시 광진구 구의동 203-24 
호프/통닭,서울특별시 광진구 화양동 9-72번지 
호프/통닭,서울특별시 광진구 자양동 634-36번지 
호프/통닭,서울특별시 광진구 중곡동 115-28 (1층) 101호
호프/통닭,서울특별시 광진구 자양동 608-23번지 
통닭(치킨),서울특별시 광진구 자양동 553-41 
호프/통닭,서울특별시 광진구 화양동 8-37번지 지하 
호프/통닭,서울특별시 광진구 화양동 42-27 
호프/통닭,서울특별시 광진구 능동 279-2 
호프/통닭,서울특별시 광진구 자양동 679-35번지 
호프/통닭,서울특별시 광진구 중곡동 173-7 
호프/통닭,서울특별시 광진구 구의동 594-3번지 
호프/통닭,서울특별시 광진구 중곡동 256-33 
호프/통닭,서울특별시 광진구 중곡동 31-24번지 1층 
호프/통닭,서울특별시 광진구 중곡동 243-1 대한빌딩 1층 
호프/통닭,서울특별시 광진구 구의동 212-29번지 
호프/통닭,서울특별시 광진구 중곡동 162-3 
호프/통닭,서울특별시 광진구 화양동 9-66번지 
